URL,Код ответа,Кол-во товаров
https://www.kravtel.ru/catalog/SHtabeliruemye-transportnye-kontejnery-14-8/,200,12
https://www.kravtel.ru/catalog/Pishevaya-tara1/,200,50
https://www.kravtel.ru/catalog/Vedra2/,200,1
https://www.kravtel.ru/catalog/Kubotejnery2/,200,1
https://www.kravtel.ru/catalog/Pishevye-kontejnery2/,200,34
https://www.kravtel.ru/catalog/Plastmassovye-baki/,200,4
https://www.kravtel.ru/catalog/Vstavlyaemye-drug-v-druga-kontejnery1/,200,14
https://www.kravtel.ru/catalog/vkladyvaemye_konteynery_instore_kv/,200,14
https://www.kravtel.ru/catalog/Evrokontejnery2/,200,50
https://www.kravtel.ru/catalog/Kontejnery-EC/,200,14
https://www.kravtel.ru/catalog/konteynery_xl/,200,19
https://www.kravtel.ru/catalog/konteynery_bn/,200,20
https://www.kravtel.ru/catalog/konteynery_sl/,200,16
https://www.kravtel.ru/catalog/konteynery_eq/,200,16
https://www.kravtel.ru/catalog/Skladnye-kontejnery2/,200,50
https://www.kravtel.ru/catalog/KB2/,200,2
https://www.kravtel.ru/catalog/Prochie2/,200,1
https://www.kravtel.ru/catalog/Skladnye-kontejnery-FK/,200,50
https://www.kravtel.ru/catalog/konteynery_transportnye_klt_vda/,200,31
https://www.kravtel.ru/catalog/Kontejnery-transportnye-R-KLT/,200,5
https://www.kravtel.ru/catalog/konteynery_rl_klt/,200,5
https://www.kravtel.ru/catalog/universalnye_konteynery/,200,6
https://www.kravtel.ru/catalog/C-KLT2/,200,8
https://www.kravtel.ru/catalog/Kontejnery-metallicheskie2/,200,50
https://www.kravtel.ru/catalog/RK-14-6-14-8/,200,26
https://www.kravtel.ru/catalog/Krupnogabaritnye1/,200,50
https://www.kravtel.ru/catalog/Krupnogabaritnye-kontejnery3/,200,50
https://www.kravtel.ru/catalog/Krupnogabaritnye-kontejnery3/kryshka_polimernogo_kontejnera_modernizirovannaya1/,404
https://www.kravtel.ru/catalog/ibox_1200_800/,200,12
https://www.kravtel.ru/catalog/konteyner_ibox_1200_1000/,200,4
https://www.kravtel.ru/catalog/konteyner_ibox_1130x1130/,200,4
https://www.kravtel.ru/catalog/Polybox1/,200,11
https://www.kravtel.ru/catalog/razbornyy_polimernyy_konteyner_tweensheet_/,404
https://www.kravtel.ru/catalog/razbornyy_polimernyy_konteyner_oktabin_/,404
https://www.kravtel.ru/catalog/poliboks_1200_1000/,404
https://www.kravtel.ru/catalog/poliboks_1200_800/,200,10
https://www.kravtel.ru/catalog/poliboks_1470_1125/,404
https://www.kravtel.ru/catalog/skladnye_konteynery/,200,2
https://www.kravtel.ru/catalog/baki_pishchevye_40_200_l/,404
https://www.kravtel.ru/catalog/konteynery_pishchevye_125_400_l/,404
https://www.kravtel.ru/catalog/konteynery_modeli_1000/,200,12
https://www.kravtel.ru/catalog/konteyner_model_1000_ase_usilennyy/,404
https://www.kravtel.ru/catalog/konteyner_model_1120/,200,19
https://www.kravtel.ru/catalog/konteyner_model_1200_1200/,200,4
https://www.kravtel.ru/catalog/konteyner_model_1600/,200,8
https://www.kravtel.ru/catalog/konteyner_model_800_usilennyy/,404
https://www.kravtel.ru/catalog/Antistaticheskie-kontejnery-i-aksessuary2/,200,50
https://www.kravtel.ru/catalog/Individualnye-i-spetcialnye-resheniya2/,200,32
https://www.kravtel.ru/catalog/Kontejnery-dlya-opasnoj-produktcii2/,200,1
https://www.kravtel.ru/catalog/Lotki-dlya-avtomatizirovannyh-linij-i-podborov-zakazov1/,200,28
https://www.kravtel.ru/catalog/Stroitelnye-kontejnery2/,200,3
https://www.kravtel.ru/catalog/Setchatye-metallicheskie-kontejnery1/,200,21
https://www.kravtel.ru/catalog/konteynery/,200,50
https://www.kravtel.ru/catalog/plastikovye_konteynery/,200,50
https://www.kravtel.ru/catalog/poddony/,200,50
https://www.kravtel.ru/catalog/Plastikovye-i-metallicheskie-poddony/,200,31
https://www.kravtel.ru/catalog/Plastikovye-600h800-mm/,200,3
https://www.kravtel.ru/catalog/Plastikovye-1200h800-mm/,200,18
https://www.kravtel.ru/catalog/Plastikovye-1200h1000-mm/,200,9
https://www.kravtel.ru/catalog/Metallicheskie/,200,18
https://www.kravtel.ru/catalog/evropoddony/,200,13
https://www.kravtel.ru/catalog/pallety/,200,20
https://www.kravtel.ru/catalog/evropallety/,200,20
https://www.kravtel.ru/catalog/metallicheskie_pallety/,200,20
https://www.kravtel.ru/catalog/plastikovye_pallety/,200,20
https://www.kravtel.ru/catalog/Spetcialnogo-naznacheniya1/,200,4
https://www.kravtel.ru/catalog/Nasadki-dlya-pallet1/,200,10
https://www.kravtel.ru/catalog/Aksessuary-dlya-poddonov1/,200,8
https://www.kravtel.ru/catalog/bezopasnye_poddony/,200,48
https://www.kravtel.ru/catalog/yashchiki/,200,50
https://www.kravtel.ru/catalog/plastikovye_yashchiki/,200,50
https://www.kravtel.ru/catalog/metallicheskaya_mebel/,200,50
https://www.kravtel.ru/catalog/metallicheskie_shkafy/,200,50
https://www.kravtel.ru/catalog/shkafy_dlya_razdevalki/,200,38
https://www.kravtel.ru/catalog/metallicheskie_shkafy_dlya_odezhdy/,200,35
https://www.kravtel.ru/catalog/metallicheskie_shkafy_dlya_razdevalok_lokery/,200,20
https://www.kravtel.ru/catalog/modulnye_metallicheskie_shkafy_dlya_razdevalok/,200,13
https://www.kravtel.ru/catalog/shkafy_dlya_ofisa/,200,27
https://www.kravtel.ru/catalog/bukhgalterskie_shkafy/,200,19
https://www.kravtel.ru/catalog/kartoteki/,200,20
https://www.kravtel.ru/catalog/kartoteki_bolshikh_formatov/,200,8
https://www.kravtel.ru/catalog/ognestoykie_shkafy/,200,4
https://www.kravtel.ru/catalog/cushilnye_shkafy/,200,7
https://www.kravtel.ru/catalog/mnogoyashchichnye_shkafy/,200,8
https://www.kravtel.ru/catalog/mebel_dlya_balkonov/,200,4
https://www.kravtel.ru/catalog/arkhivnye_shkafy/,200,20
https://www.kravtel.ru/catalog/shkafy_dlya_dokumentov/,200,27
https://www.kravtel.ru/catalog/cpetsializirovannye_shkafy/,200,1
https://www.kravtel.ru/catalog/skameyki_garderobnye_i_podstavki/,200,12
https://www.kravtel.ru/catalog/bankovskie_shkafy/,200,45
https://www.kravtel.ru/catalog/vzlomostoykie_shkafy/,200,19
https://www.kravtel.ru/catalog/shkafy_nobilis/,200,7
https://www.kravtel.ru/catalog/shkafy_dlya_instrumentov/,200,28
https://www.kravtel.ru/catalog/shkafy_instrumentalnye_legkie_ts/,200,20
https://www.kravtel.ru/catalog/shkafy_instrumentalnye_tc_1095/,200,8
https://www.kravtel.ru/catalog/shkafy_instrumentalnye_tc_1995/,200,12
https://www.kravtel.ru/catalog/shkafy_instrumentalnye_tyazhelye_amh_tc/,200,8
https://www.kravtel.ru/catalog/shkafy_praktik/,200,50
https://www.kravtel.ru/catalog/proizvodstvennaya_mebel/,200,50
https://www.kravtel.ru/catalog/verstaki_serii_garage/,200,8
https://www.kravtel.ru/catalog/verstaki_serii_master/,200,7
https://www.kravtel.ru/catalog/verstaki_serii_profi_w/,200,10
https://www.kravtel.ru/catalog/verstaki_serii_expert_ws/,200,14
https://www.kravtel.ru/catalog/aksessuary_na_ekran/,200,16
https://www.kravtel.ru/catalog/telezhki_instrumentalnye/,200,13
https://www.kravtel.ru/catalog/tyazhelye_modulnye_shkafy_serii_hard/,200,12
https://www.kravtel.ru/catalog/stulya_promyshlennye/,200,3
https://www.kravtel.ru/catalog/tumby/,200,9
https://www.kravtel.ru/catalog/tumby_mobilnye/,200,4
https://www.kravtel.ru/catalog/tumby_ofisnye/,200,5
https://www.kravtel.ru/catalog/Hranenie-melkih-detalej/,200,27
https://www.kravtel.ru/catalog/seyfy/,200,50
https://www.kravtel.ru/catalog/smart_seyfy/,200,1
https://www.kravtel.ru/catalog/vzlomostoykie_seyfy/,200,50
https://www.kravtel.ru/catalog/vzlomostoykie_seyfy_i_klassa/,200,43
https://www.kravtel.ru/catalog/vzlomostoykie_seyfy_ii_klassa/,200,34
https://www.kravtel.ru/catalog/vzlomostoykie_seyfy_iii_klassa/,200,30
https://www.kravtel.ru/catalog/vzlomostoykie_seyfy_iv_klassa/,200,20
https://www.kravtel.ru/catalog/vzlomostoykie_seyfy_v_klassa/,200,16
https://www.kravtel.ru/catalog/vstraivaemye_seyfy/,200,18
https://www.kravtel.ru/catalog/gostinichnye_seyfy/,200,4
https://www.kravtel.ru/catalog/depozitnye_seyfy/,200,13
https://www.kravtel.ru/catalog/depozitnye_yacheyki/,200,47
https://www.kravtel.ru/catalog/dopolnitelnye_aksessuary_dlya_seyfov/,200,7
https://www.kravtel.ru/catalog/mebelnye_seyfy/,200,33
https://www.kravtel.ru/catalog/seyfy_sochetayushchie_ognestoykost_i_ustoychivost_k_vzlomu/,200,22
https://www.kravtel.ru/catalog/ognestoykie_kartoteki/,200,2
https://www.kravtel.ru/catalog/ognestoykie_seyfy/,200,36
https://www.kravtel.ru/catalog/oruzheynye_shkafy_i_seyfy/,200,50
https://www.kravtel.ru/catalog/oruzheynye_seify/,200,50
https://www.kravtel.ru/catalog/tiger/,200,2
https://www.kravtel.ru/catalog/valberg/,200,9
https://www.kravtel.ru/catalog/valberg_seriya_arsenal/,200,16
https://www.kravtel.ru/catalog/valberg_seriya_irbis/,200,4
https://www.kravtel.ru/catalog/seyf_dlya_okhotnichego_ruzhya/,200,50
https://www.kravtel.ru/catalog/aiko/,200,50
https://www.kravtel.ru/catalog/oruzheynye_shkafy/,200,50
https://www.kravtel.ru/catalog/seyfy_dlya_pistoleta/,200,10
https://www.kravtel.ru/catalog/lozhementy_i_podstavki/,200,4
https://www.kravtel.ru/catalog/ofisnye_seyfy/,200,41
https://www.kravtel.ru/catalog/seyfy_aiko/,200,50
https://www.kravtel.ru/catalog/seyfy_valberg/,200,50
https://www.kravtel.ru/catalog/seyfy_evropeyskoy_sertifikatsii/,200,49
https://www.kravtel.ru/catalog/tempokassy/,200,3
https://www.kravtel.ru/catalog/eksklyuzivnye_seyfy/,200,14
https://www.kravtel.ru/catalog/stellazhi/,200,50
https://www.kravtel.ru/catalog/arhivnye_stellazhi_magazin/,200,50
https://www.kravtel.ru/catalog/metallicheskie_stellazhi_magazin/,200,50
https://www.kravtel.ru/catalog/ofisnye_stellazhi/,200,50
https://www.kravtel.ru/catalog/stellazhi_dlya_garazha/,200,50
https://www.kravtel.ru/catalog/stellazhi_dlya_sklada/,200,50
https://www.kravtel.ru/catalog/termokontejnery-dlya-transportirovki/,200,50
https://www.kravtel.ru/catalog/seriya_izotermicheskikh_konteynerov_isotec_ergo/,200,8
https://www.kravtel.ru/catalog/termokonteynery_baki/,200,4
https://www.kravtel.ru/catalog/meditsinskie_termokonteynery/,200,16
https://www.kravtel.ru/catalog/cumki_kholodilniki_dlya_lekarstv/,200,9
https://www.kravtel.ru/catalog/termokonteynery_dlya_ryby_i_moreprodkutov/,200,34
https://www.kravtel.ru/catalog/termokonteynery_dlya_keyteringa/,200,34
https://www.kravtel.ru/catalog/akkumulyatory_kholoda/,200,15
https://www.kravtel.ru/catalog/Rolboksy/,200,13
https://www.kravtel.ru/catalog/telezhki_dlya_sklada_i_rolboksy/,200,50
https://www.kravtel.ru/catalog/Metallicheskie-telezhki1/,200,33
https://www.kravtel.ru/catalog/Platformennye-telezhki1/,200,46
https://www.kravtel.ru/catalog/telezhki/,200,50
https://www.kravtel.ru/catalog/skladskoe_oborudovanie/,200,50
https://www.kravtel.ru/catalog/metallicheskie_stellazhi/,200,50
https://www.kravtel.ru/catalog/stellazhi_skladskie_metallicheskie/,200,50
https://www.kravtel.ru/catalog/meditsinskaya_mebel_i_izdeliya/,200,50
https://www.kravtel.ru/catalog/meditsinskie_stoliki/,200,6
https://www.kravtel.ru/catalog/kushetki_i_banketki_meditsinskie/,200,2
https://www.kravtel.ru/catalog/meditsinskie_krovati/,200,12
https://www.kravtel.ru/catalog/telezhki_dlya_perevozki_bolnykh/,200,4
https://www.kravtel.ru/catalog/meditsinskie_shkafy_dlya_razdevalok/,200,8
https://www.kravtel.ru/catalog/tumby_meditsinskie_podkatnye/,200,4
https://www.kravtel.ru/catalog/arkhivnye_meditsinskie_shkafy/,200,7
https://www.kravtel.ru/catalog/kartoteki_meditsinskie/,200,5
https://www.kravtel.ru/catalog/meditsinskie_stellazhi_ctm_ms/,200,15
https://www.kravtel.ru/catalog/aptechki/,200,2
https://www.kravtel.ru/catalog/shirmy_i_stoyki/,200,2
https://www.kravtel.ru/catalog/seyfy_termostaty/,200,5
https://www.kravtel.ru/catalog/sales/,200,20
https://www.kravtel.ru/catalog/special/,200,2
https://www.kravtel.ru/catalog/internet_magazin/,200,50
https://www.kravtel.ru/catalog/Aksessuary/,200,50
https://www.kravtel.ru/catalog/Prochee/,200,1
